,run,algorithm,skips,acc,nmi,ari,L,Lc,Lr,silhouette
53,78,causal,True,0.54167,0.16252,0.10523,0.00418000016361475,0.00418000016361475,0.004100000020116568,0.9533131718635559
54,79,causal,True,0.57883,0.27879,0.21764,0.002580000087618828,0.002369999885559082,0.004490000195801258,0.9770558476448059
55,80,causal,True,0.51217,0.1626,0.08228,0.006570000201463699,0.006810000166296959,0.004389999900013208,0.9773868918418884
56,81,causal,True,0.55433,0.25157,0.14919,0.005179999861866236,0.005419999826699495,0.0030700000934302807,0.9576627612113953
57,82,causal,True,0.50383,0.17255,0.10267,0.0088900001719594,0.009290000423789024,0.005330000072717667,0.9727435111999512
58,83,causal,True,0.58183,0.22499,0.17308,0.006200000178068876,0.006599999964237213,0.0026700000744313,0.9756247401237488
59,84,causal,True,0.43217,0.05437,0.05278,0.008709999732673168,0.009440000168979168,0.0021100000012665987,0.9823943972587585
60,85,causal,True,0.53983,0.17054,0.14034,0.008510000072419643,0.008899999782443047,0.005009999964386225,0.9306758642196655
61,86,causal,True,0.4755,0.06183,0.05155,0.006380000151693821,0.006430000066757202,0.005969999823719263,0.9823824167251587
62,87,causal,True,0.42583,0.07834,0.04839,0.0185100007802248,0.01998000033199787,0.005270000081509352,0.9509658217430115
63,88,causal,True,0.50183,0.18695,0.12298,0.003909999970346689,0.0038999998942017555,0.004000000189989805,0.9757200479507446
64,89,causal,True,0.49,0.10234,0.05404,0.003599999938160181,0.0035000001080334187,0.004490000195801258,0.9729993343353271
65,90,causal,True,0.42483,0.05066,0.04551,0.014050000347197056,0.015030000358819962,0.005229999776929617,0.9552597403526306
66,91,causal,True,0.51333,0.15683,0.13483,0.022700000554323196,0.02466999925673008,0.0050200000405311584,0.9415618777275085
67,92,causal,True,0.45317,0.06233,0.04128,0.012760000303387642,0.013500000350177288,0.006120000034570694,0.9784960746765137
68,93,causal,True,0.57367,0.28589,0.25103,0.015560000203549862,0.017109999433159828,0.0015899999998509884,0.9809686541557312
69,94,causal,True,0.39667,0.03987,0.03488,0.01484999991953373,0.015930000692605972,0.005169999785721302,0.9537414312362671
70,95,causal,True,0.419,0.05806,0.05782,0.027979999780654907,0.030489999800920486,0.00535999983549118,0.9463037252426147
71,96,causal,True,0.498,0.08747,0.0866,0.008750000037252903,0.00913000013679266,0.005249999929219484,0.9659666419029236
72,97,causal,True,0.61717,0.20938,0.18462,0.006430000066757202,0.0066200001165270805,0.004699999932199717,0.975271463394165
73,98,causal,True,0.67467,0.31349,0.27561,0.011189999990165234,0.011880000121891499,0.004980000201612711,0.9696006774902344
74,99,causal,True,0.49,0.21281,0.13092,0.00977999996393919,0.010400000028312206,0.0042500002309679985,0.9606655836105347
75,100,causal,True,0.4575,0.05192,0.05366,0.014580000191926956,0.015610000118613243,0.005309999920427799,0.9599385857582092
76,101,causal,True,0.52283,0.18185,0.11507,0.010710000060498714,0.011509999632835388,0.003470000112429261,0.9636278748512268
77,102,causal,True,0.41117,0.04609,0.0454,0.01706000044941902,0.018379999324679375,0.005169999785721302,0.9581027030944824
78,103,causal,True,0.4595,0.10973,0.06416,0.00930000003427267,0.009739999659359455,0.005350000225007534,0.9827415347099304
79,104,causal,True,0.51183,0.15389,0.13555,0.008419999852776527,0.008820000104606152,0.004819999914616346,0.9740740656852722
80,105,causal,True,0.4275,0.13299,0.08327,0.015239999629557133,0.016510000452399254,0.0037700000684708357,0.9673261046409607
81,106,causal,True,0.492,0.15499,0.10834,0.009100000374019146,0.009669999592006207,0.004009999800473452,0.9633721709251404
